"","game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1","1902_22_TeamMA_TeamA1",1,1,1,32290,1,1
"2","1902_22_TeamMA_TeamA1",1,1,1,32790,2,2
"3","1902_22_TeamMA_TeamA1",1,1,1,32790,0,5
"4","1902_22_TeamMA_TeamA1",2,1,2,46390,1,1
"5","1902_22_TeamMA_TeamA1",2,1,2,46790,10,4
"6","1902_22_TeamMA_TeamA1",2,1,2,47190,1,9
"7","1902_22_TeamMA_TeamA1",2,1,2,50690,3,2
"8","1902_22_TeamMA_TeamA1",2,1,2,51990,0,5
"9","1902_22_TeamMA_TeamA1",3,NA,3,384040,1,6
"10","1902_22_TeamMA_TeamA1",3,NA,3,384690,3,2
"11","1902_22_TeamMA_TeamA1",3,NA,3,384840,0,5
"12","1902_22_TeamMA_TeamA1",4,2,4,404040,1,1
"13","1902_22_TeamMA_TeamA1",4,2,4,404490,0,5
"14","1902_22_TeamMA_TeamA1",4,2,4,404490,2,2
"15","1902_22_TeamMA_TeamA1",5,2,5,425290,1,1
"16","1902_22_TeamMA_TeamA1",5,2,5,425740,10,4
"17","1902_22_TeamMA_TeamA1",5,2,5,425790,255,16
"18","1902_22_TeamMA_TeamA1",5,2,5,427390,255,16
"19","1902_22_TeamMA_TeamA1",5,2,5,428190,255,16
"20","1902_22_TeamMA_TeamA1",5,2,5,428890,255,16
"21","1902_22_TeamMA_TeamA1",5,2,5,429290,255,16
"22","1902_22_TeamMA_TeamA1",5,2,5,429690,7,2
"23","1902_22_TeamMA_TeamA1",5,2,5,431440,7,3
"24","1902_22_TeamMA_TeamA1",5,2,5,433290,255,16
"25","1902_22_TeamMA_TeamA1",5,2,5,433740,5,2
"26","1902_22_TeamMA_TeamA1",5,2,5,433790,0,5
"27","1902_22_TeamMA_TeamA1",6,3,6,467740,1,1
"28","1902_22_TeamMA_TeamA1",6,3,6,468240,2,2
"29","1902_22_TeamMA_TeamA1",6,3,6,468240,0,5
"30","1902_22_TeamMA_TeamA1",7,3,7,488390,1,1
"31","1902_22_TeamMA_TeamA1",7,3,7,488840,10,4
"32","1902_22_TeamMA_TeamA1",7,3,7,488990,0,5
"33","1902_22_TeamMA_TeamA1",8,3,8,522640,1,1
"34","1902_22_TeamMA_TeamA1",8,3,8,523090,2,2
"35","1902_22_TeamMA_TeamA1",8,3,8,523090,0,5
"36","1902_22_TeamMA_TeamA1",9,3,9,545990,1,1
"37","1902_22_TeamMA_TeamA1",9,3,9,546490,2,2
"38","1902_22_TeamMA_TeamA1",9,3,9,546490,0,5
"39","1902_22_TeamMA_TeamA1",10,4,10,590040,1,1
"40","1902_22_TeamMA_TeamA1",10,4,10,590490,10,4
"41","1902_22_TeamMA_TeamA1",10,4,10,590540,0,5
"42","1902_22_TeamMA_TeamA1",11,4,11,619640,1,1
"43","1902_22_TeamMA_TeamA1",11,4,11,620190,2,2
"44","1902_22_TeamMA_TeamA1",11,4,11,620190,0,5
"45","1902_22_TeamMA_TeamA1",12,4,12,652990,1,1
"46","1902_22_TeamMA_TeamA1",12,4,12,653440,10,4
"47","1902_22_TeamMA_TeamA1",12,4,12,653540,0,5
"48","1902_22_TeamMA_TeamA1",13,4,13,684440,1,1
"49","1902_22_TeamMA_TeamA1",13,4,13,684990,2,2
"50","1902_22_TeamMA_TeamA1",13,4,13,684990,0,5
"51","1902_22_TeamMA_TeamA1",14,4,14,709790,1,1
"52","1902_22_TeamMA_TeamA1",14,4,14,710240,10,4
"53","1902_22_TeamMA_TeamA1",14,4,14,710340,0,5
"54","1902_22_TeamMA_TeamA1",15,4,15,753340,1,1
"55","1902_22_TeamMA_TeamA1",15,4,15,753790,10,4
"56","1902_22_TeamMA_TeamA1",15,4,15,753840,255,16
"57","1902_22_TeamMA_TeamA1",15,4,15,755040,255,16
"58","1902_22_TeamMA_TeamA1",15,4,15,755540,255,16
"59","1902_22_TeamMA_TeamA1",15,4,15,755890,255,16
"60","1902_22_TeamMA_TeamA1",15,4,15,756040,1,2
"61","1902_22_TeamMA_TeamA1",15,4,15,756940,1,3
"62","1902_22_TeamMA_TeamA1",15,4,15,757690,3,2
"63","1902_22_TeamMA_TeamA1",15,4,15,757940,0,5
"64","1902_22_TeamMA_TeamA1",16,5,16,798990,1,1
"65","1902_22_TeamMA_TeamA1",16,5,16,799490,2,2
"66","1902_22_TeamMA_TeamA1",16,5,16,799490,0,5
"67","1902_22_TeamMA_TeamA1",17,5,17,819540,1,1
"68","1902_22_TeamMA_TeamA1",17,5,17,820040,2,2
"69","1902_22_TeamMA_TeamA1",17,5,17,820040,0,5
"70","1902_22_TeamMA_TeamA1",18,5,18,840440,1,1
"71","1902_22_TeamMA_TeamA1",18,5,18,840940,2,2
"72","1902_22_TeamMA_TeamA1",18,5,18,840940,0,5
"73","1902_22_TeamMA_TeamA1",19,5,19,861540,1,1
"74","1902_22_TeamMA_TeamA1",19,5,19,861990,0,5
"75","1902_22_TeamMA_TeamA1",19,5,19,861990,2,2
"76","1902_22_TeamMA_TeamA1",20,6,20,907340,1,1
"77","1902_22_TeamMA_TeamA1",20,6,20,907790,0,5
"78","1902_22_TeamMA_TeamA1",20,6,20,907790,2,2
"79","1902_22_TeamMA_TeamA1",21,6,21,927590,1,1
"80","1902_22_TeamMA_TeamA1",21,6,21,928090,0,5
"81","1902_22_TeamMA_TeamA1",21,6,21,928090,2,2
"82","1902_22_TeamMA_TeamA1",22,6,22,950290,1,1
"83","1902_22_TeamMA_TeamA1",22,6,22,950790,0,5
"84","1902_22_TeamMA_TeamA1",22,6,22,950790,2,2
"85","1902_22_TeamMA_TeamA1",23,6,23,973040,1,1
"86","1902_22_TeamMA_TeamA1",23,6,23,973590,0,5
"87","1902_22_TeamMA_TeamA1",23,6,23,973590,2,2
"88","1902_22_TeamMA_TeamA1",24,7,24,1147140,1,1
"89","1902_22_TeamMA_TeamA1",24,7,24,1147590,2,2
"90","1902_22_TeamMA_TeamA1",24,7,24,1147590,0,5
"91","1902_22_TeamMA_TeamA1",25,7,25,1157340,1,1
"92","1902_22_TeamMA_TeamA1",25,7,25,1157790,2,2
"93","1902_22_TeamMA_TeamA1",25,7,25,1157790,0,5
"94","1902_22_TeamMA_TeamA1",26,7,26,1166840,1,1
"95","1902_22_TeamMA_TeamA1",26,7,26,1167290,2,2
"96","1902_22_TeamMA_TeamA1",26,7,26,1167290,0,5
"97","1902_22_TeamMA_TeamA1",27,7,27,1176490,1,1
"98","1902_22_TeamMA_TeamA1",27,7,27,1176890,10,4
"99","1902_22_TeamMA_TeamA1",27,7,27,1177340,255,16
"100","1902_22_TeamMA_TeamA1",27,7,27,1177790,255,16
"101","1902_22_TeamMA_TeamA1",27,7,27,1178240,255,16
"102","1902_22_TeamMA_TeamA1",27,7,27,1178790,255,16
"103","1902_22_TeamMA_TeamA1",27,7,27,1179190,255,16
"104","1902_22_TeamMA_TeamA1",27,7,27,1179540,255,16
"105","1902_22_TeamMA_TeamA1",27,7,27,1180140,255,16
"106","1902_22_TeamMA_TeamA1",27,7,27,1181840,9,2
"107","1902_22_TeamMA_TeamA1",27,7,27,1182890,9,3
"108","1902_22_TeamMA_TeamA1",27,7,27,1184590,6,2
"109","1902_22_TeamMA_TeamA1",27,7,27,1184690,0,5
"110","1902_22_TeamMA_TeamA1",28,8,28,1225040,1,1
"111","1902_22_TeamMA_TeamA1",28,8,28,1225490,2,2
"112","1902_22_TeamMA_TeamA1",28,8,28,1225490,0,5
"113","1902_22_TeamMA_TeamA1",29,8,29,1240240,1,1
"114","1902_22_TeamMA_TeamA1",29,8,29,1240690,10,4
"115","1902_22_TeamMA_TeamA1",29,8,29,1241140,0,5
"116","1902_22_TeamMA_TeamA1",30,NA,30,1265390,1,6
"117","1902_22_TeamMA_TeamA1",30,NA,30,1266040,3,2
"118","1902_22_TeamMA_TeamA1",30,NA,30,1266340,0,5
"119","1902_22_TeamMA_TeamA1",31,8,31,1281740,1,1
"120","1902_22_TeamMA_TeamA1",31,8,31,1282190,10,4
"121","1902_22_TeamMA_TeamA1",31,8,31,1287940,8,2
"122","1902_22_TeamMA_TeamA1",31,8,31,1289040,8,3
"123","1902_22_TeamMA_TeamA1",31,8,31,1289940,6,2
"124","1902_22_TeamMA_TeamA1",31,8,31,1290140,0,5
"125","1902_22_TeamMA_TeamA1",32,9,32,1321990,1,1
"126","1902_22_TeamMA_TeamA1",32,9,32,1322490,2,2
"127","1902_22_TeamMA_TeamA1",32,9,32,1322490,0,5
"128","1902_22_TeamMA_TeamA1",33,9,33,1339840,1,1
"129","1902_22_TeamMA_TeamA1",33,9,33,1340290,2,2
"130","1902_22_TeamMA_TeamA1",33,9,33,1340290,0,5
"131","1902_22_TeamMA_TeamA1",34,9,34,1358190,1,1
"132","1902_22_TeamMA_TeamA1",34,9,34,1358590,10,4
"133","1902_22_TeamMA_TeamA1",34,9,34,1358690,0,5
"134","1902_22_TeamMA_TeamA1",35,9,35,1384690,1,1
"135","1902_22_TeamMA_TeamA1",35,9,35,1385090,2,2
"136","1902_22_TeamMA_TeamA1",35,9,35,1385090,0,5
"137","1902_22_TeamMA_TeamA1",36,9,36,1405140,1,1
"138","1902_22_TeamMA_TeamA1",36,9,36,1405540,10,4
"139","1902_22_TeamMA_TeamA1",36,9,36,1405640,255,16
"140","1902_22_TeamMA_TeamA1",36,9,36,1406690,255,16
"141","1902_22_TeamMA_TeamA1",36,9,36,1406790,5,9
"142","1902_22_TeamMA_TeamA1",36,9,36,1408490,6,2
"143","1902_22_TeamMA_TeamA1",36,9,36,1409790,0,5
"144","1902_22_TeamMA_TeamA1",37,10,37,1453190,1,1
"145","1902_22_TeamMA_TeamA1",37,10,37,1453590,2,2
"146","1902_22_TeamMA_TeamA1",37,10,37,1453590,0,5
"147","1902_22_TeamMA_TeamA1",38,10,38,1467390,1,1
"148","1902_22_TeamMA_TeamA1",38,10,38,1467940,2,2
"149","1902_22_TeamMA_TeamA1",38,10,38,1467940,0,5
"150","1902_22_TeamMA_TeamA1",39,10,39,1484840,1,1
"151","1902_22_TeamMA_TeamA1",39,10,39,1485240,2,2
"152","1902_22_TeamMA_TeamA1",39,10,39,1485240,0,5
"153","1902_22_TeamMA_TeamA1",40,11,40,1520390,1,1
"154","1902_22_TeamMA_TeamA1",40,11,40,1520840,0,5
"155","1902_22_TeamMA_TeamA1",40,11,40,1520840,2,2
"156","1902_22_TeamMA_TeamA1",41,11,41,1535940,1,1
"157","1902_22_TeamMA_TeamA1",41,11,41,1536440,0,5
"158","1902_22_TeamMA_TeamA1",41,11,41,1536440,2,2
"159","1902_22_TeamMA_TeamA1",42,11,42,1552740,1,1
"160","1902_22_TeamMA_TeamA1",42,11,42,1553190,0,5
"161","1902_22_TeamMA_TeamA1",42,11,42,1553190,2,2
"162","1902_22_TeamMA_TeamA1",43,11,43,1569440,1,1
"163","1902_22_TeamMA_TeamA1",43,11,43,1569890,10,4
"164","1902_22_TeamMA_TeamA1",43,11,43,1575040,6,2
"165","1902_22_TeamMA_TeamA1",43,11,43,1575340,0,5
"166","1902_22_TeamMA_TeamA1",44,12,44,1720440,1,1
"167","1902_22_TeamMA_TeamA1",44,12,44,1720890,10,9
"168","1902_22_TeamMA_TeamA1",44,12,44,1720940,0,5
"169","1902_22_TeamMA_TeamA1",45,13,45,1758140,1,1
"170","1902_22_TeamMA_TeamA1",45,13,45,1758640,0,5
"171","1902_22_TeamMA_TeamA1",45,13,45,1758640,2,2
"172","1902_22_TeamMA_TeamA1",46,13,46,1779640,1,1
"173","1902_22_TeamMA_TeamA1",46,13,46,1780140,0,5
"174","1902_22_TeamMA_TeamA1",46,13,46,1780140,2,2
"175","1902_22_TeamMA_TeamA1",47,13,47,1802340,1,1
"176","1902_22_TeamMA_TeamA1",47,13,47,1802790,0,5
"177","1902_22_TeamMA_TeamA1",47,13,47,1802790,2,2
"178","1902_22_TeamMA_TeamA1",48,13,48,1826240,1,1
"179","1902_22_TeamMA_TeamA1",48,13,48,1826740,255,16
"180","1902_22_TeamMA_TeamA1",48,13,48,1826840,2,2
"181","1902_22_TeamMA_TeamA1",48,13,48,1826840,0,5
"182","1902_22_TeamMA_TeamA1",49,13,49,1855690,1,1
"183","1902_22_TeamMA_TeamA1",49,13,49,1856190,2,2
"184","1902_22_TeamMA_TeamA1",49,13,49,1856190,0,5
"185","1902_22_TeamMA_TeamA1",50,14,50,1891140,1,1
"186","1902_22_TeamMA_TeamA1",50,14,50,1891640,0,5
"187","1902_22_TeamMA_TeamA1",50,14,50,1891640,2,2
"188","1902_22_TeamMA_TeamA1",51,14,51,1913440,1,1
"189","1902_22_TeamMA_TeamA1",51,14,51,1913890,10,4
"190","1902_22_TeamMA_TeamA1",51,14,51,1914090,0,5
"191","1902_22_TeamMA_TeamA1",52,14,52,1946990,1,1
"192","1902_22_TeamMA_TeamA1",52,14,52,1947490,0,5
